Date	Time	Binary	Target	Elapsed	Cores	Execs	Exec/sec	Cycles	Paths	Crashes	Reason	TestVer
2021-04-08	22:13:37	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack2	1	1	0	0	0	2	0		
2021-04-08	22:13:38	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack2	1	1	0	0	0	1	0		
2021-04-08	22:14:38	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack2	60	1	8	43	0	6	1	Crash Found.	
2021-04-08	22:15:11	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	2	0		
2021-04-08	22:15:12	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	1	1	0	0	0	1	0		
2021-04-08	22:16:12	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack3	60	1	8	44	0	6	1	Crash Found.	
2021-04-08	22:16:45	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack4	1	1	0	0	0	2	0		
2021-04-08	22:16:46	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack4	1	1	0	0	0	1	0		
2021-04-08	22:17:46	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack4	60	1	8	36	0	6	1	Crash Found.	
2021-04-08	22:19:17	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/attack5	60	1	48	5	0	9	0		
2021-04-08	22:20:01	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	12	1	0	0	0	67	0		
2021-04-08	22:20:12	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	11	1	0	0	0	67	0		
2021-04-08	22:20:22	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	10	1	0	0	0	67	0		
2021-04-08	22:20:32	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	10	1	0	0	0	67	0		
2021-04-08	22:20:42	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	10	1	0	0	0	67	0		
2021-04-08	22:20:53	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	10	1	0	0	0	67	0		
2021-04-08	22:21:02	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:21:12	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	10	1	0	0	0	67	0		
2021-04-08	22:21:22	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	10	1	0	0	0	67	0		
2021-04-08	22:21:31	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:21:40	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:21:49	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:21:59	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:22:08	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:22:17	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:22:26	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:22:35	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:22:44	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:22:53	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:23:02	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
2021-04-08	22:23:12	/httpreqr	http://172.17.0.2:18080/WebGoat/SqlInjection/assignment5a	9	1	0	0	0	67	0		
