Date	Time	Binary	Target	Elapsed	Cores	Execs	Exec/sec	Cycles	Paths	Crashes	Reason	TestVer
2021-05-20	07:25:30	/usr/local/bin/php-cgi	/var/www/openemr/interface/login/login.php	1200	1	10738	3	0	8	0		
2021-05-20	07:45:47	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/main_screen.php	1200	1	13438	2	0	27	0		
2021-05-20	07:48:05	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/messages/messages.php	121	1	3085	1	0	10	0		
2021-05-20	07:50:13	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/messages/messages.php	121	1	3265	1	0	9	0		
2021-05-20	08:10:19	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/messages/messages.php	1201	1	1102	0	0	10	0		
2021-05-20	08:30:36	/usr/local/bin/php-cgi	/var/www/openemr/library/ajax/dated_reminders_counter.php	1200	1	1956	0	0	2	0		
2021-05-20	08:50:53	/usr/local/bin/php-cgi	/var/www/openemr/library/ajax/execute_background_services.php	1200	1	2628	0	0	3	0		
2021-05-20	08:53:11	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/calendar/index.php	121	1	2537	0	0	5	0		
2021-05-20	08:55:19	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/calendar/index.php	121	1	17723	0	0	4	0		
2021-05-20	08:57:26	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/calendar/index.php	121	1	17793	0	0	3	0		
2021-05-20	08:59:33	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/calendar/index.php	121	1	8271	0	0	2	0		
2021-05-20	09:01:41	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/calendar/index.php	121	1	8357	0	0	1	0		
2021-05-20	09:03:48	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/calendar/index.php	121	1	8436	0	0	1	0		
2021-05-20	09:24:05	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/dated_reminders/dated_reminders.php	1200	1	9199	0	0	5	0		
2021-05-20	09:26:05	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/rules/index.php	102	1	354	0	0	4	0		
2021-05-20	09:46:11	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/rules/index.php	1201	1	19312	0	0	5	0		
2021-05-20	10:06:28	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_file/reminder/patient_reminders.php	1200	1	2038	0	0	3	0		
2021-05-20	10:08:46	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	10517	0	0	26	0		
2021-05-20	10:10:54	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	19933	0	0	25	0		
2021-05-20	10:13:01	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	10604	0	0	25	0		
2021-05-20	10:15:09	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	10650	0	0	23	0		
2021-05-20	10:17:16	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	10696	0	0	22	0		
2021-05-20	10:19:24	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	10740	0	0	21	0		
2021-05-20	10:21:31	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	10788	0	0	21	0		
2021-05-20	10:23:39	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	2471	0	0	21	0		
2021-05-20	10:25:46	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	2531	0	0	18	0		
2021-05-20	10:27:54	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	4349	0	0	19	0		
2021-05-20	10:30:01	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	4619	0	0	16	0		
2021-05-20	10:32:09	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	4659	0	0	15	0		
2021-05-20	10:34:16	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	4704	0	0	14	0		
2021-05-20	10:36:23	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	1160	0	0	13	0		
2021-05-20	10:38:31	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	1221	0	0	12	0		
2021-05-20	10:40:38	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	1282	0	0	11	0		
2021-05-20	10:42:46	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	1343	0	0	10	0		
2021-05-20	10:44:53	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	2535	0	0	9	0		
2021-05-20	10:47:01	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	121	1	5066	0	0	9	0		
2021-05-20	11:07:07	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	1201	1	3452	0	0	22	0		
2021-05-20	11:09:26	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	121	1	4114	0	0	16	0		
2021-05-20	11:11:33	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	121	1	4179	0	0	16	0		
2021-05-20	11:13:41	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	121	1	5599	0	0	14	0		
2021-05-20	11:15:48	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	121	1	5645	0	0	13	0		
2021-05-20	11:17:55	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	121	1	2414	0	0	12	0		
2021-05-20	11:20:03	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	121	1	2475	0	0	11	0		
2021-05-20	11:22:10	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	121	1	2535	0	0	11	0		
2021-05-20	11:24:18	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	121	1	2594	0	0	9	0		
2021-05-20	11:26:25	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	121	1	4332	0	0	8	0		
2021-05-20	11:28:33	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	121	1	6676	0	0	7	0		
2021-05-20	11:48:39	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	1201	1	5320	0	0	10	0		
2021-05-20	11:50:58	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_tracker/patient_tracker.php	121	1	5561	0	0	10	0		
2021-05-20	11:53:05	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_tracker/patient_tracker.php	121	1	672	0	0	9	0		
2021-05-20	11:55:13	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_tracker/patient_tracker.php	121	1	776	0	0	8	0		
2021-05-20	11:57:20	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_tracker/patient_tracker.php	121	1	812	0	0	8	0		
2021-05-20	11:59:28	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_tracker/patient_tracker.php	121	1	6536	0	0	6	0		
2021-05-20	12:01:35	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_tracker/patient_tracker.php	121	1	6568	0	0	6	0		
2021-05-20	12:21:41	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_tracker/patient_tracker.php	1200	1	1335	0	0	7	0		
2021-05-20	12:41:58	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/finder/dynamic_finder_ajax.php	1201	1	680	0	0	8	1	Crash Found.	
2021-05-20	12:44:17	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_globals.php	121	1	1814	0	0	5	0		
2021-05-20	12:46:24	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_globals.php	121	1	4617	0	0	4	0		
2021-05-20	12:48:32	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_globals.php	121	1	4664	0	0	3	0		
2021-05-20	12:50:39	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_globals.php	121	1	4710	0	0	2	0		
2021-05-20	12:52:47	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_globals.php	121	1	4755	0	0	2	1	Crash Found.	
2021-05-20	12:55:05	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/cqm.php	121	1	7496	0	0	30	0		
2021-05-20	12:57:13	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/cqm.php	121	1	731	0	0	28	0		
2021-05-20	12:59:20	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/cqm.php	121	1	762	0	0	27	0		
2021-05-20	13:01:27	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/cqm.php	121	1	7866	0	0	26	0		
2021-05-20	13:03:35	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/cqm.php	121	1	2289	0	0	26	0		
2021-05-20	13:05:42	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/cqm.php	121	1	2323	0	0	24	0		
2021-05-20	13:07:50	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/cqm.php	121	1	2355	0	0	23	0		
2021-05-20	13:09:57	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/cqm.php	121	1	2386	0	0	23	0		
